screen_name,cluster
YardleyShooting,1
Zobyismyname,1
b_brenzki,1
_Min_Dumpling_,1
PeterCranie,1
fragmansixty9,1
carothelinaa,1
_Oliver_Yates,1
eachus,1
SilERabbit,1
klimaaksjon112,1
incorrectikon,1
KCTaz,0
EddieLyons3,1
AlbhyCaber,1
anitamkay,1
OsmundsenTerje,1
savewaternaula1,1
TeslaForThe_Win,1
johnflipside,1
jimmysrealmom,1
SnowflakeTakes,1
BFISA,1
cjmunich,1
alto_kat,1
WNawfal,1
PeepingMoon,1
ohhdearvane,1
thelastforson,1
Wells135,1
sandboxvet1,1
k21smitty,1
godisbrendon,1
ki_sekiya,1
ayanaeliza,0
Wraithaz,1
irishamanoban,1
KissMyGritsGOP,1
chaturvedi_upma,1
Uddalok126,1
Lazza69676222,1
veronicaswicks,1
Neerajsaini567,1
MichaelEMann,0
parezcoydigo,1
inagumtree,1
carbs98989,1
Suchita99330826,1
KarenHudes,1
sahiltaluja2,1
NorthstarAlex,1
Divyain07083180,1
HannahK8W,1
deepchand77,1
KirkSeriousFace,1
ShreyaMehra20,1
dalton_schnabel,1
LalaTraceyLady,1
Bethyyy15,1
AdamSearleMLC,1
Vaishalikamboj3,1
Mike23614,1
Bensgonecoastal,1
KindaFunny9,1
MansMan31660180,1
whitwt,1
HaveWeAllGoneM1,1
DShaylei_,1
Billbaker734,1
magoncha3,1
NotCatie,1
Mithii6,1
evandlester,1
ZacharyRogerO,1
blarsxnn,1
Travele83003472,1
Kensey007,1
n_rosellini,1
BawdenSnoek,1
drozdal,1
docrocktex26,1
TrueBluePSU7,1
LesBreeding1,1
johnsona7422,1
ThiagoMaia2503,1
brinnlie25,1
Law_Of_Fives,1
fatima_vdz_,1
Brennanator,1
finnnothy,1
incorrectwonwoo,1
allentien,1
qith8n,1
17sunnie,1
WeatherProf,0
TheRebelTV,1
MccarronTed,1
DGaroui,1
japantimes,1
Chilldick19,1
JaneDosen,1
tyracraig04,1
DjScottro,1
samj1727,1
William_Norris3,1
MahatmaaGanji,1
PalmBae,1
tan123,0
brobsonmontey,1
Sham1016_,1
EcoInternetDrGB,1
idwfallaway,1
phbarratt,1
Marcusgibson,1
sarcher59425351,1
egiesee12,1
amongstwits,1
GlobalFishWatch,1
queenofclubbbs,1
rgmerk,1
Tolulayoo,1
Stereotriibe,1
Jason__Loo,1
FredMer39027021,1
NYCMayor,1
whichoneisglee,1
tedraiter,1
douglas_rao,1
KyleDHester,1
ChiefKeefIntern,1
venezuelancon,1
Zeri_26,1
OlumideIDOWU,1
LaughlinPadge,1
Jelest_94,1
futurism,1
YaleClimateComm,1
_moonbunnie,1
TheFormary,1
GreeneMC,1
nytfood,1
tylermilnes28,1
Algorithm_Guy,1
th3Derek,1
paytonic14,1
ProjectDrawdown,1
churchofandrew,1
deliaadamm,1
StopSpewingBS,1
CardiganCorg,1
rf_mehlinger,1
Bill_Maxwell_,1
wweincorrect,1
KaitMcGrathNBC,1
ianpauldukes,1
voteemma2032,1
_patlabor,1
fatclyde,1
dietpurple,1
DestinyDreadful,1
ccdeditor,1
jerry_jtaylor,1
guidemark,1
TransportDems,1
Kenneth72712993,1
TWTThisIsNow,1
BeesPollinators,1
ElderLansing,1
RCMSSachs,1
vonduffer,1
jesskawaiixxx,1
LadyLawyerDiary,1
CarraMackey,1
GreenAwakening,0
cool2_b,1
SkotCG,1
xxdr_zombiexx,1
TheAkmed,1
priscian,1
ClimateHist,1
rsimmon,1
kjell_yvik,1
MattDoyle76,1
Public_Citizen,1
RickKendall58,1
standearth,1
ara_aguilar13,1
HondoShootist,1
buturbrows,1
foodandwater,1
UUSC,1
LochChesney,1
trillmoregirls,1
BeatrizGentil,1
groth1945,1
FriendEden100,1
DangerouslyMJJ,1
ok_squid,1
ClimateReality,0
RicardoAlonzo__,1
deepseadawn,1
paige_geanangel,1
leonardolaterza,1
FailShark,1
asakookai,1
ClimateComms,1
zclsstr,1
Patrickrazzi,1
Princeton,1
homemadeguitars,1
HDigre,1
badgallldidi,1
grace_terry_,1
PreacherBo,1
johnlundin,1
ageofzamo,1
AltUS_ARC,1
beard1000,1
tsrandall,1
JohnIbbitson,1
Papibigbean,1
kayeman,1
CatFinnie,1
walz_jon,1
VeganJusticeLea,1
emspeak,1
angharadPJ,1
GTAman51,1
tellesarminda,1
KHayhoe,1
Crytivo,1
JoeMyGod,1
TaminoClimate,1
rhettchanning,1
RightWingWatch,1
DougieGordie,1
RichardGowan1,1
JuttaBrunnee,1
Cheval_Global,1
NikolovScience,1
Obeng_A_,1
CharlieTomson,1
BruceBartlett,1
wsvn,1
grangerslight,1
DanaBehar2,1
The_AEF,1
caerbannog666,1
BobeMannBball,1
djkilllist,1
JoePCunningham,1
AlexJayBrady,1
MPaintbox,1
BlueMoonisCraft,1
MikeH_MapleGrov,1
stephencrose,1
nooraalhashimi,1
DavidMastio,1
sassysvg,1
maeverourke,1
earthinstitute,1
BormansGert,1
gold_badge,1
JunkScience,0
Sleigh_Davis,1
evolvable,1
dougduncan1205,1
Rachel66979060,1
media_climate,1
Feeding9Billion,1
Talkmaster,1
EU_ScienceHub,1
JamesHumen,1
billperryman,1
a6e9ba9fe6e0266,1
jeromegravesbm1,1
caraealexis,1
mailandguardian,1
BrotheronEcon,1
hartfordwolf,1
shahin07_,1
irbennn,1
chayabos,1
ecJulie,1
theHouse_mag,1
Electroversenet,1
Richard56,1
ClancyReports,1
realmarvino,1
Vanguff4,1
MarcherLord1,1
saviourishere4u,1
SteveParker1971,1
Glovergreen,1
GhostChandlers,1
MartinDoyleIT,1
Ninawth,1
ybnl_princess,1
Jerseyshore06,1
MoonWolf95,1
bootstrapES,1
mules_m,1
ttasnimh,1
pinkbisexual,1
gresavvi,1
rogerwilkinson3,1
pennypopken,1
ClimateRealists,1
LachlannOF,1
pplonia,1
oranglaut,1
JokeBreh,1
Planetary_Sec,1
mariannethyssen,1
